VideoID,Label
HVC286,3
HVC288,3
HVC314,2
HVC326,3
HVC328,2
HVC332,3
HVC333,2
HVC356,3
HVC443,1
HVC468,3
HVC472,2
HVC476,2
HVC477,2
HVC479,2
HVC480,2
HVC481,2
HVC505,3
HVC516,3
HVC522,3
HVC633,3
HVC657,2
HVC675,3
HVC677,3
HVC680,3
HVC709,3
HVC713,3
HVC716,3
HVC717,2
HVC720,2
HVC721,2
HVC728,1
HVC729,3
HVC731,3
HVC736,3
HVC739,2
HVC741,2
HVC745,2
HVC755,3
HVC788,2
HVC855,3
HVC857,3
HVC871,3
HVC872,2
HVC883,3
HVC887,2
HVC919,3
HVC921,1
HVC961,3
HVC1035,3
HVC1037,2
HVC1039,3
HVC1063,3
HVC1064,2
HVC1069,2
HVC1076,3
HVC1079,3
HVC1082,2
HVC1083,2
HVC1086,2
HVC1088,2
HVC1105,2
HVC1107,2
HVC1112,2
HVC1118,2
HVC1120,2
HVC1124,2
HVC1125,2
HVC1127,1
HVC1132,1
HVC1133,3
HVC1135,1
HVC1136,2
HVC1138,2
HVC1141,2
HVC1142,3
HVC1143,1
HVC1144,3
HVC1151,3
HVC1152,3
HVC1153,2
HVC1154,2
HVC1155,2
HVC1158,1
HVC1160,1
HVC1161,3
HVC1162,1
HVC1168,1
HVC1191,3
HVC1209,3
HVC1228,3
HVC1229,1
HVC1230,3
HVC1231,2
HVC1232,2
HVC1233,3
HVC1238,3
HVC1242,2
HVC1246,2
HVC1247,2
HVC1258,2
HVC1259,3
HVC1266,1
HVC1268,3
HVC1269,2
HVC1279,2
HVC1281,3
HVC1282,2
HVC1316,3
HVC1340,2
HVC1345,3
HVC1350,2
HVC1379,2
HVC1410,1
HVC1411,2
HVC1412,3
HVC1414,3
HVC1415,1
HVC1416,1
HVC1417,2
HVC1419,2
HVC1422,2
HVC1425,3
HVC1433,3
HVC1436,3
HVC1437,1
HVC1443,2
HVC1555,3
HVC1556,2
HVC1557,2
HVC1563,2
HVC1567,1
HVC1568,2
HVC1579,2
HVC1582,2
HVC1590,2
HVC1600,3
HVC1605,2
HVC1609,2
HVC1610,3
HVC1612,1
HVC1613,2
HVC1615,2
HVC1620,3
HVC1622,3
HVC1637,2
HVC1639,2
HVC1640,2
HVC1646,2
HVC1667,2
HVC1673,2
HVC1681,2
HVC1684,3
HVC1722,3
HVC1724,2
HVC1726,1
HVC1728,3
HVC1729,3
HVC1731,3
HVC1734,2
HVC1742,1
HVC1764,2
HVC1765,2
HVC1769,3
HVC1777,3
HVC1778,3
HVC1779,1
HVC1783,3
HVC1789,3
HVC1792,2
HVC1808,2
HVC1817,1
HVC1819,3
HVC1824,2
HVC1825,3
HVC1828,1
HVC1831,2
HVC1832,3
HVC1834,3
HVC1835,2
HVC1836,3
HVC1840,3
HVC1842,1
HVC1844,3
HVC1845,2
HVC1848,2
HVC1849,3
HVC1850,3
HVC1851,1
HVC1852,2
HVC1854,3
HVC1860,2
HVC1864,1
HVC1865,2
HVC1866,3
HVC1868,2
HVC1872,3
HVC1873,1
HVC1883,2
HVC1887,2
HVC1889,3
HVC1897,1
