VideoID,Label
HVC286,3
HVC288,3
HVC314,3
HVC326,1
HVC328,3
HVC332,1
HVC333,1
HVC356,3
HVC443,3
HVC468,1
HVC472,3
HVC476,3
HVC477,3
HVC479,1
HVC480,2
HVC481,3
HVC505,3
HVC516,1
HVC522,2
HVC633,3
HVC657,3
HVC675,1
HVC677,3
HVC680,1
HVC709,2
HVC713,1
HVC716,1
HVC717,3
HVC720,1
HVC721,1
HVC728,1
HVC729,3
HVC731,3
HVC736,3
HVC739,3
HVC741,1
HVC745,1
HVC755,1
HVC788,1
HVC855,3
HVC857,3
HVC871,1
HVC872,1
HVC883,1
HVC887,1
HVC919,1
HVC921,3
HVC961,1
HVC1035,3
HVC1037,2
HVC1039,1
HVC1063,1
HVC1064,3
HVC1069,3
HVC1076,2
HVC1079,1
HVC1082,1
HVC1083,1
HVC1086,3
HVC1088,1
HVC1105,3
HVC1107,2
HVC1112,1
HVC1118,1
HVC1120,1
HVC1124,3
HVC1125,3
HVC1127,3
HVC1132,3
HVC1133,2
HVC1135,3
HVC1136,2
HVC1138,3
HVC1141,2
HVC1142,3
HVC1143,3
HVC1144,1
HVC1151,3
HVC1152,1
HVC1153,3
HVC1154,3
HVC1155,3
HVC1158,1
HVC1160,1
HVC1161,1
HVC1162,1
HVC1168,1
HVC1191,2
HVC1209,1
HVC1228,1
HVC1229,3
HVC1230,1
HVC1231,3
HVC1232,2
HVC1233,1
HVC1238,2
HVC1242,3
HVC1246,3
HVC1247,3
HVC1258,1
HVC1259,1
HVC1266,1
HVC1268,1
HVC1269,3
HVC1279,3
HVC1281,1
HVC1282,3
HVC1316,2
HVC1340,1
HVC1345,1
HVC1350,1
HVC1379,1
HVC1410,3
HVC1411,2
HVC1412,3
HVC1414,2
HVC1415,2
HVC1416,2
HVC1417,2
HVC1419,1
HVC1422,1
HVC1425,2
HVC1433,2
HVC1436,2
HVC1437,2
HVC1443,3
HVC1555,3
HVC1556,3
HVC1557,3
HVC1563,3
HVC1567,3
HVC1568,3
HVC1579,3
HVC1582,2
HVC1590,1
HVC1600,1
HVC1605,3
HVC1609,3
HVC1610,3
HVC1612,3
HVC1613,3
HVC1615,3
HVC1620,3
HVC1622,1
HVC1637,3
HVC1639,3
HVC1640,3
HVC1646,1
HVC1667,2
HVC1673,3
HVC1681,1
HVC1684,3
HVC1722,1
HVC1724,1
HVC1726,1
HVC1728,1
HVC1729,1
HVC1731,3
HVC1734,3
HVC1742,1
HVC1764,3
HVC1765,1
HVC1769,3
HVC1777,1
HVC1778,2
HVC1779,1
HVC1783,2
HVC1789,1
HVC1792,1
HVC1808,3
HVC1817,3
HVC1819,3
HVC1824,2
HVC1825,2
HVC1828,3
HVC1831,3
HVC1832,1
HVC1834,1
HVC1835,2
HVC1836,3
HVC1840,1
HVC1842,2
HVC1844,3
HVC1845,1
HVC1848,1
HVC1849,1
HVC1850,1
HVC1851,1
HVC1852,1
HVC1854,3
HVC1860,1
HVC1864,1
HVC1865,2
HVC1866,3
HVC1868,3
HVC1872,1
HVC1873,1
HVC1883,1
HVC1887,3
HVC1889,1
HVC1897,1
