VideoID,Label
HVC286,2
HVC288,2
HVC314,1
HVC326,2
HVC328,2
HVC332,2
HVC333,2
HVC356,3
HVC443,3
HVC468,1
HVC472,3
HVC476,3
HVC477,3
HVC479,1
HVC480,3
HVC481,1
HVC505,3
HVC516,3
HVC522,2
HVC633,1
HVC657,3
HVC675,1
HVC677,3
HVC680,1
HVC709,2
HVC713,2
HVC716,2
HVC717,2
HVC720,1
HVC721,2
HVC728,2
HVC729,1
HVC731,3
HVC736,3
HVC739,1
HVC741,1
HVC745,2
HVC755,3
HVC788,1
HVC855,1
HVC857,1
HVC871,1
HVC872,1
HVC883,2
HVC887,1
HVC919,3
HVC921,1
HVC961,1
HVC1035,2
HVC1037,1
HVC1039,2
HVC1063,1
HVC1064,3
HVC1069,1
HVC1076,2
HVC1079,1
HVC1082,3
HVC1083,3
HVC1086,2
HVC1088,1
HVC1105,1
HVC1107,2
HVC1112,3
HVC1118,3
HVC1120,2
HVC1124,1
HVC1125,1
HVC1127,1
HVC1132,1
HVC1133,3
HVC1135,1
HVC1136,1
HVC1138,3
HVC1141,2
HVC1142,1
HVC1143,1
HVC1144,3
HVC1151,1
HVC1152,3
HVC1153,2
HVC1154,2
HVC1155,2
HVC1158,2
HVC1160,1
HVC1161,3
HVC1162,1
HVC1168,3
HVC1191,2
HVC1209,1
HVC1228,3
HVC1229,3
HVC1230,1
HVC1231,1
HVC1232,2
HVC1233,1
HVC1238,1
HVC1242,2
HVC1246,1
HVC1247,1
HVC1258,1
HVC1259,2
HVC1266,3
HVC1268,1
HVC1269,1
HVC1279,1
HVC1281,1
HVC1282,1
HVC1316,2
HVC1340,3
HVC1345,3
HVC1350,1
HVC1379,3
HVC1410,2
HVC1411,2
HVC1412,2
HVC1414,1
HVC1415,2
HVC1416,2
HVC1417,1
HVC1419,1
HVC1422,1
HVC1425,1
HVC1433,1
HVC1436,1
HVC1437,3
HVC1443,2
HVC1555,2
HVC1556,1
HVC1557,2
HVC1563,2
HVC1567,2
HVC1568,2
HVC1579,1
HVC1582,3
HVC1590,3
HVC1600,3
HVC1605,2
HVC1609,2
HVC1610,2
HVC1612,2
HVC1613,2
HVC1615,2
HVC1620,2
HVC1622,1
HVC1637,2
HVC1639,2
HVC1640,2
HVC1646,2
HVC1667,2
HVC1673,2
HVC1681,1
HVC1684,1
HVC1722,1
HVC1724,1
HVC1726,3
HVC1728,1
HVC1729,1
HVC1731,1
HVC1734,2
HVC1742,3
HVC1764,1
HVC1765,1
HVC1769,1
HVC1777,2
HVC1778,2
HVC1779,2
HVC1783,1
HVC1789,2
HVC1792,1
HVC1808,2
HVC1817,2
HVC1819,2
HVC1824,1
HVC1825,1
HVC1828,1
HVC1831,3
HVC1832,2
HVC1834,1
HVC1835,3
HVC1836,1
HVC1840,1
HVC1842,1
HVC1844,1
HVC1845,3
HVC1848,3
HVC1849,2
HVC1850,1
HVC1851,2
HVC1852,3
HVC1854,1
HVC1860,3
HVC1864,3
HVC1865,2
HVC1866,3
HVC1868,1
HVC1872,3
HVC1873,3
HVC1883,1
HVC1887,1
HVC1889,1
HVC1897,3
HVC1898,1
HVC1900,1
HVC1902,3
HVC1907,3
HVC1908,1
HVC1910,3
HVC1938,1
HVC1939,1
HVC1944,2
HVC1945,1
HVC1946,3
HVC1948,1
HVC1950,3
HVC1952,1
HVC1955,1
HVC1957,1
HVC1963,3
HVC1968,2
HVC1971,1
HVC1972,2
HVC1979,2
HVC1980,1
HVC1986,1
HVC1992,2
HVC1995,2
HVC2004,2
HVC2010,2
HVC2018,2
HVC2021,3
HVC2062,3
HVC2065,3
HVC2069,3
HVC2071,1
HVC2079,3
HVC2096,3
HVC2132,2
HVC2135,2
HVC2140,1
HVC2143,1
HVC2147,2
HVC2153,1
HVC2157,3
HVC2158,3
HVC2194,3
HVC2195,1
HVC2196,2
HVC2199,1
HVC2209,1
HVC2219,1
HVC2222,1
HVC2224,2
HVC2225,2
HVC2228,1
HVC2229,2
HVC2233,2
HVC2237,1
HVC2239,1
HVC2248,1
HVC2255,2
HVC2259,2
HVC2267,1
HVC2272,1
HVC2279,3
HVC2289,2
HVC2293,1
HVC2297,2
HVC2298,2
HVC2301,3
HVC2304,1
HVC2306,2
HVC2311,1
HVC2313,1
HVC2317,2
HVC2321,3
HVC2335,3
HVC2352,3
HVC2361,1
HVC2371,3
HVC2375,3
HVC2380,1
HVC2387,1
HVC2390,3
HVC2392,1
HVC2393,1
HVC2399,1
HVC2404,1
HVC2405,1
HVC2409,3
HVC2411,1
HVC2412,3
HVC2415,1
HVC2419,3
HVC2420,1
HVC2422,2
HVC2446,3
HVC2448,2
HVC2496,2
HVC2504,2
HVC2508,1
HVC2521,1
HVC2522,2
HVC2523,1
HVC2526,1
HVC2528,1
HVC2529,3
HVC2532,1
HVC2550,3
HVC2552,1
HVC2553,1
HVC2557,1
HVC2562,2
HVC2566,3
HVC2571,1
HVC2573,1
HVC2574,3
HVC2575,2
HVC2580,1
HVC2584,1
HVC2588,1
HVC2595,3
HVC2599,1
HVC2601,2
HVC2602,3
HVC2604,3
HVC2606,2
HVC2607,3
HVC2608,3
HVC2609,1
HVC2610,3
HVC2615,1
HVC2616,3
HVC2617,1
HVC2618,3
HVC2622,3
HVC2635,1
HVC2639,3
HVC2647,2
HVC2649,1
HVC2650,1
HVC2655,2
HVC2657,2
HVC2658,2
HVC2667,3
HVC2669,3
HVC2674,2
HVC2675,3
HVC2677,1
HVC2682,3
HVC2685,3
HVC2687,1
HVC2691,1
HVC2698,1
HVC2702,3
HVC2703,3
HVC2705,3
HVC2707,2
HVC2710,1
HVC2711,2
HVC2713,1
HVC2714,1
HVC2715,1
HVC2716,2
HVC2718,3
HVC2720,1
HVC2721,3
HVC2723,1
HVC2724,1
HVC2728,1
HVC2736,3
HVC2742,3
HVC2749,3
HVC2759,3
HVC2760,3
HVC2762,3
HVC2768,1
HVC2769,3
HVC2780,1
HVC2782,3
HVC2786,3
HVC2789,3
HVC2791,3
HVC2807,3
HVC2809,1
HVC2810,2
HVC2812,2
HVC2814,3
HVC2818,3
HVC2825,3
HVC2828,2
HVC2832,1
HVC2834,2
HVC2835,2
HVC2836,3
HVC2837,2
HVC2838,1
HVC2839,3
HVC2840,3
HVC2842,1
HVC2846,1
HVC2848,3
HVC2856,1
HVC2857,3
HVC2858,2
HVC3002,2
HVC3006,3
HVC3007,2
HVC3012,3
HVC3013,2
HVC3014,1
HVC3015,3
HVC3016,2
HVC3017,3
HVC3019,1
HVC3020,1
HVC3021,3
HVC3022,1
HVC3024,1
HVC3025,2
HVC3027,3
HVC3031,2
HVC3032,3
HVC3034,1
HVC3071,2
HVC3072,1
HVC3077,1
HVC3078,2
HVC3081,1
HVC3082,3
HVC3097,3
HVC3099,3
HVC3100,3
HVC3107,2
HVC3113,3
HVC3114,1
HVC3116,3
HVC3117,2
HVC3118,1
HVC3119,1
HVC3123,3
HVC3124,3
HVC3126,1
HVC3129,1
HVC3131,1
HVC3132,1
HVC3135,1
HVC3136,3
HVC3137,1
HVC3143,2
HVC3148,1
HVC3154,3
HVC3155,2
HVC3157,3
HVC3160,2
HVC3161,1
HVC3162,3
HVC3168,1
HVC3169,1
HVC3170,1
HVC3171,3
HVC3173,1
HVC3174,1
HVC3180,1
HVC3183,1
HVC3184,3
HVC3185,1
HVC3187,1
HVC3189,1
HVC3190,1
HVC3196,2
HVC3199,1
HVC3204,2
HVC3205,1
HVC3209,1
HVC3210,1
HVC3211,3
HVC3212,1
HVC3217,1
HVC3218,2
HVC3223,2
HVC3254,3
HVC3259,2
HVC3261,1
HVC3262,1
HVC3264,1
HVC3265,2
HVC3266,3
HVC3267,3
HVC3268,3
HVC3269,2
HVC3270,2
HVC3271,2
HVC3280,3
HVC3285,3
HVC3287,1
HVC3296,3
HVC3297,3
HVC3300,1
HVC3302,2
HVC3304,3
HVC3307,1
HVC3308,1
HVC3311,2
HVC3313,1
HVC3314,1
HVC3315,2
HVC3320,1
HVC3321,1
HVC3323,3
HVC3329,2
HVC3332,2
HVC3333,1
HVC3334,1
HVC3336,3
HVC3337,1
HVC3338,1
HVC3348,3
HVC3349,1
HVC3353,1
HVC3371,1
HVC3372,3
HVC3373,3
HVC3400,2
HVC3410,1
HVC3414,1
HVC3416,1
HVC3419,1
HVC3422,1
HVC3424,1
HVC3429,2
HVC3432,1
HVC3492,1
HVC3493,2
HVC3495,1
HVC3496,1
HVC3499,1
HVC3503,2
HVC3507,1
HVC3512,1
HVC3516,2
HVC3517,1
HVC3521,1
HVC3522,2
HVC3523,2
HVC3524,2
HVC3526,2
HVC3535,1
HVC3537,1
HVC3540,1
HVC3541,1
HVC3542,2
HVC3545,2
HVC3550,1
HVC3551,3
HVC3556,1
HVC3557,1
HVC3558,1
HVC3560,2
HVC3564,3
HVC3571,3
HVC3572,1
HVC3573,3
HVC3577,2
HVC3583,1
HVC3584,1
HVC3587,2
HVC3589,1
HVC3591,1
HVC3592,1
HVC3593,3
HVC3596,1
HVC3598,3
HVC3621,1
HVC3639,1
HVC3644,3
HVC3645,1
HVC3647,2
HVC3648,1
HVC3649,1
HVC3652,1
HVC3654,1
HVC3657,1
HVC3661,1
HVC3662,2
HVC3664,3
HVC3667,1
HVC3669,1
HVC3686,1
HVC3688,2
HVC3689,3
HVC3690,1
HVC3691,1
HVC3692,1
HVC3697,2
HVC3698,1
HVC3700,2
HVC3701,1
HVC3704,1
HVC3705,1
HVC3710,1
HVC3712,1
HVC3714,1
HVC3719,3
HVC3722,1
HVC3724,1
HVC3738,3
HVC3741,1
HVC3744,3
HVC3746,3
HVC3748,3
HVC3754,1
HVC3756,3
HVC3757,2
HVC3763,3
HVC3765,3
HVC3771,3
HVC3777,3
HVC3782,2
HVC3786,1
HVC3787,1
HVC3794,2
HVC3796,2
HVC3798,1
HVC3799,2
HVC3800,1
HVC3802,3
HVC3803,3
HVC3804,3
HVC3805,3
HVC3808,2
HVC3809,1
HVC3811,2
HVC3812,2
HVC3814,1
HVC3821,1
HVC3822,2
HVC3835,3
HVC3837,3
HVC3841,1
HVC3842,1
HVC3843,1
HVC3845,1
HVC3846,1
HVC3848,1
HVC3852,3
HVC3855,3
HVC3856,2
HVC3859,1
HVC3860,3
HVC3861,1
HVC3865,3
HVC3866,2
HVC3871,3
HVC3876,1
HVC3877,1
HVC3880,1
HVC3881,3
HVC3888,1
HVC3889,2
HVC3891,3
HVC3897,2
HVC3898,1
HVC3900,1
HVC3901,1
HVC3907,1
HVC3908,2
HVC3912,2
HVC3916,3
HVC3919,1
HVC3920,2
HVC3925,2
HVC3926,2
HVC3931,1
HVC3933,3
HVC3935,1
HVC3936,3
HVC3937,3
HVC3938,3
HVC3941,2
HVC3942,1
HVC3943,3
HVC3952,1
HVC3956,3
HVC3962,2
HVC3965,2
HVC3968,1
HVC3970,2
HVC3988,1
HVC3990,2
HVC3992,1
HVC3994,1
HVC3995,3
HVC3996,2
HVC3999,2
HVC4003,2
HVC4004,3
HVC4021,2
HVC4022,3
HVC4025,1
HVC4026,3
HVC4032,1
HVC4042,3
HVC4043,1
HVC4044,1
HVC4045,1
HVC4046,1
HVC4047,2
HVC4051,2
HVC4052,3
HVC4055,1
HVC4056,3
HVC4057,2
HVC4066,2
HVC4068,3
HVC4070,3
HVC4073,1
HVC4074,1
HVC4099,1
HVC4104,1
HVC4106,1
HVC4107,2
HVC4108,1
HVC4109,1
HVC4110,1
HVC4111,1
HVC4112,1
HVC4114,2
HVC4115,1
HVC4116,1
HVC4117,2
HVC4119,2
HVC4121,1
HVC4122,2
HVC4123,1
HVC4124,1
HVC4125,3
HVC4126,3
HVC4127,3
HVC4128,2
HVC4129,3
HVC4130,3
HVC4131,1
HVC4132,3
HVC4134,2
HVC4135,1
HVC4136,1
HVC4137,2
HVC4138,2
HVC4140,2
HVC4141,1
HVC4142,1
HVC4143,2
HVC4144,2
HVC4147,1
HVC4149,1
HVC4151,1
HVC4152,3
HVC4153,3
HVC4163,1
HVC4170,3
HVC4171,1
HVC4173,2
HVC4175,3
HVC4178,1
HVC4185,1
HVC4189,1
HVC4194,3
HVC4197,1
HVC4201,3
HVC4203,2
HVC4205,3
HVC4209,1
HVC4218,3
HVC4219,2
HVC4220,2
HVC4223,1
HVC4230,1
HVC4232,1
HVC4233,1
HVC4234,1
HVC4239,1
HVC4241,3
HVC4243,1
HVC4246,2
HVC4248,2
HVC4258,1
HVC4261,1
HVC4262,1
HVC4267,1
HVC4268,1
HVC4270,3
HVC4271,1
HVC4273,2
HVC4275,3
HVC4278,1
HVC4283,1
HVC4288,1
HVC4295,3
HVC4307,1
HVC4309,2
HVC4319,3
HVC4321,1
HVC4323,2
HVC4324,1
HVC4325,2
HVC4326,2
HVC4330,1
HVC4333,1
HVC4335,2
HVC4343,3
HVC4350,1
HVC4351,2
HVC4352,3
HVC4355,2
HVC4356,2
HVC4362,1
HVC4363,1
HVC4364,2
HVC4366,2
HVC4368,1
HVC4371,1
HVC4374,2
HVC4375,3
HVC4377,3
HVC4381,3
HVC4387,2
HVC4392,1
HVC4394,1
HVC4395,1
HVC4397,1
HVC4398,3
HVC4399,3
HVC4400,2
HVC4402,2
HVC4406,1
HVC4407,1
HVC4410,1
HVC4411,3
HVC4417,1
HVC4419,1
HVC4422,3
HVC4423,2
HVC4425,1
HVC4428,2
HVC4430,2
HVC4432,1
HVC4433,1
HVC4434,1
HVC4435,2
HVC4444,3
HVC4445,3
HVC4446,1
HVC4447,1
HVC4472,2
HVC4474,1
HVC4475,1
HVC4476,2
HVC532,3
HVC535,1
HVC624,3
HVC725,3
HVC893,3
HVC918,3
HVC1094,1
HVC1163,1
HVC1270,1
HVC1322,3
HVC1413,1
HVC1643,2
HVC1875,3
HVC1912,2
HVC1934,1
HVC1935,2
HVC1983,1
HVC1985,1
HVC2015,2
HVC2019,1
HVC2027,3
HVC2044,2
HVC2045,3
HVC2051,3
HVC2054,1
HVC2067,1
HVC2080,3
HVC2084,1
HVC2099,3
HVC2101,3
HVC2119,1
HVC2131,2
HVC2141,1
HVC2151,2
HVC2156,2
HVC2160,1
HVC2201,3
HVC2203,1
HVC2206,1
HVC2207,2
HVC2210,1
HVC2217,3
HVC2231,1
HVC2261,1
HVC2275,1
HVC2276,1
HVC2285,3
HVC2286,1
HVC2300,3
HVC2310,1
HVC2314,3
HVC2338,2
HVC2339,2
HVC2345,1
HVC2394,3
HVC2398,3
HVC2421,3
HVC2427,2
HVC2429,3
HVC2436,2
HVC2438,3
HVC2459,3
HVC2489,3
HVC2492,3
HVC2502,3
HVC2514,3
HVC2524,3
HVC2548,3
HVC2586,3
HVC2587,2
HVC2590,3
HVC2612,1
HVC2613,2
HVC2624,2
HVC2627,3
HVC2708,3
HVC2719,1
HVC2730,1
HVC2735,2
HVC2739,1
HVC2740,1
HVC2802,2
HVC2805,3
HVC3087,1
HVC3090,1
HVC3091,3
HVC3092,3
HVC3095,1
HVC3103,3
HVC3106,1
HVC3110,2
HVC3111,3
HVC3277,2
HVC3279,1
HVC3288,3
HVC3289,3
HVC3292,1
HVC3293,1
HVC3295,2
HVC3335,2
HVC3358,3
HVC3449,1
HVC3510,1
HVC3513,3
HVC3590,2
HVC3605,3
HVC3971,2
HVC3977,3
HVC4054,3
HVC4061,1
HVC4065,2
HVC4071,1
HVC4072,1
HVC4082,2
HVC4084,1
HVC4085,3
HVC4086,2
HVC4087,1
HVC4088,2
HVC4089,2
HVC4091,2
HVC4093,1
HVC4100,2
HVC4101,2
HVC4102,3
HVC4155,1
HVC4157,1
HVC4159,1
HVC4160,1
HVC4177,3
HVC4251,1
HVC4305,1
HVC4359,1
HVC4373,1
HVC4390,1
HVC4437,1
HVC4441,1
HVC4450,2
HVC4451,1
HVC4453,1
HVC4454,1
HVC4456,1
HVC4457,1
HVC4458,1
HVC4459,3
HVC4460,3
