VideoID,Label
HVC286,1
HVC288,1
HVC314,3
HVC326,3
HVC328,3
HVC332,3
HVC333,3
HVC356,1
HVC443,1
HVC468,3
HVC472,3
HVC476,3
HVC477,3
HVC479,3
HVC480,3
HVC481,3
HVC505,2
HVC516,3
HVC522,1
HVC633,3
HVC657,3
HVC675,1
HVC677,2
HVC680,1
HVC709,3
HVC713,2
HVC716,3
HVC717,3
HVC720,2
HVC721,3
HVC728,3
HVC729,3
HVC731,1
HVC736,3
HVC739,3
HVC741,3
HVC745,3
HVC755,3
HVC788,3
HVC855,3
HVC857,2
HVC871,3
HVC872,3
HVC883,3
HVC887,3
HVC919,3
HVC921,1
HVC961,2
HVC1035,2
HVC1037,3
HVC1039,2
HVC1063,3
HVC1064,3
HVC1069,3
HVC1076,2
HVC1079,3
HVC1082,3
HVC1083,3
HVC1086,3
HVC1088,3
HVC1105,3
HVC1107,3
HVC1112,3
HVC1118,3
HVC1120,3
HVC1124,3
HVC1125,3
HVC1127,1
HVC1132,3
HVC1133,1
HVC1135,1
HVC1136,3
HVC1138,3
HVC1141,3
HVC1142,3
HVC1143,1
HVC1144,1
HVC1151,2
HVC1152,1
HVC1153,3
HVC1154,3
HVC1155,3
HVC1158,1
HVC1160,1
HVC1161,1
HVC1162,3
HVC1168,1
HVC1191,1
HVC1209,1
HVC1228,3
HVC1229,3
HVC1230,1
HVC1231,3
HVC1232,3
HVC1233,1
HVC1238,3
HVC1242,3
HVC1246,3
HVC1247,3
HVC1258,3
HVC1259,1
HVC1266,1
HVC1268,3
HVC1269,3
HVC1279,3
HVC1281,3
HVC1282,3
HVC1316,2
HVC1340,3
HVC1345,2
HVC1350,3
HVC1379,3
HVC1410,1
HVC1411,3
HVC1412,2
HVC1414,1
HVC1415,3
HVC1416,3
HVC1417,3
HVC1419,3
HVC1422,3
HVC1425,3
HVC1433,3
HVC1436,2
HVC1437,1
HVC1443,3
HVC1555,3
HVC1556,3
HVC1557,3
HVC1563,3
HVC1567,3
HVC1568,3
HVC1579,3
HVC1582,3
HVC1590,3
HVC1600,3
HVC1605,3
HVC1609,3
HVC1610,2
HVC1612,1
HVC1613,3
HVC1615,3
HVC1620,3
HVC1622,3
HVC1637,3
HVC1639,3
HVC1640,3
HVC1646,3
HVC1667,3
HVC1673,3
HVC1681,3
HVC1684,3
HVC1722,1
HVC1724,1
HVC1726,1
HVC1728,3
HVC1729,1
HVC1731,3
HVC1734,3
HVC1742,1
HVC1764,3
HVC1765,3
HVC1769,3
HVC1777,3
HVC1778,1
HVC1779,3
HVC1783,2
HVC1789,1
HVC1792,2
HVC1808,3
HVC1817,3
HVC1819,3
HVC1824,3
HVC1825,2
HVC1828,2
HVC1831,3
HVC1832,1
HVC1834,3
HVC1835,3
HVC1836,1
HVC1840,1
HVC1842,1
HVC1844,3
HVC1845,3
HVC1848,3
HVC1849,1
HVC1850,2
HVC1851,1
HVC1852,3
HVC1854,1
HVC1860,3
HVC1864,1
HVC1865,3
HVC1866,1
HVC1868,3
HVC1872,2
HVC1873,1
HVC1883,3
HVC1887,3
HVC1889,3
HVC1897,1
HVC1898,1
HVC1900,3
