VideoID,Label
HVC286,3
HVC288,1
HVC314,2
HVC326,1
HVC328,3
HVC332,1
HVC333,1
HVC356,2
HVC443,2
HVC468,1
HVC472,3
HVC476,3
HVC477,3
HVC479,1
HVC480,3
HVC481,3
HVC505,2
HVC516,1
HVC522,3
HVC633,3
HVC657,1
HVC675,1
HVC677,1
HVC680,2
HVC709,3
HVC713,1
HVC716,1
HVC717,3
HVC720,1
HVC721,1
HVC728,1
HVC729,2
HVC731,2
HVC736,2
HVC739,2
HVC741,2
HVC745,2
HVC755,2
HVC788,1
HVC855,2
HVC857,2
HVC871,1
HVC872,1
HVC883,1
HVC887,1
HVC919,1
HVC921,2
HVC961,1
HVC1035,3
HVC1037,3
HVC1039,1
HVC1063,2
HVC1064,2
HVC1069,2
HVC1076,3
HVC1079,2
HVC1082,2
HVC1083,2
HVC1086,2
HVC1088,2
HVC1105,3
HVC1107,3
HVC1112,1
HVC1118,1
HVC1120,1
HVC1124,2
HVC1125,3
HVC1127,2
HVC1132,2
HVC1133,1
HVC1135,2
HVC1136,3
HVC1138,3
HVC1141,3
HVC1142,2
HVC1143,2
HVC1144,1
HVC1151,2
HVC1152,1
HVC1153,3
HVC1154,2
HVC1155,2
HVC1158,1
HVC1160,1
HVC1161,1
HVC1162,1
HVC1168,1
HVC1191,3
HVC1209,1
HVC1228,1
HVC1229,3
HVC1230,1
HVC1231,3
HVC1232,3
HVC1233,1
HVC1238,3
HVC1242,2
HVC1246,2
HVC1247,3
HVC1258,1
HVC1259,1
HVC1266,1
HVC1268,1
HVC1269,3
HVC1279,3
HVC1281,1
HVC1282,3
HVC1316,3
HVC1340,2
HVC1345,1
HVC1350,1
HVC1379,1
HVC1410,2
HVC1411,3
HVC1412,3
HVC1414,3
HVC1415,3
HVC1416,3
HVC1417,3
HVC1419,2
HVC1422,2
HVC1425,3
HVC1433,1
HVC1436,3
HVC1437,3
HVC1443,2
HVC1555,1
HVC1556,2
HVC1557,3
HVC1563,3
HVC1567,3
HVC1568,3
HVC1579,2
HVC1582,3
HVC1590,1
HVC1600,1
HVC1605,3
HVC1609,2
HVC1610,3
HVC1612,3
HVC1613,3
HVC1615,3
HVC1620,2
HVC1622,1
HVC1637,2
HVC1639,2
HVC1640,2
HVC1646,2
HVC1667,3
HVC1673,3
HVC1681,2
HVC1684,2
HVC1722,1
HVC1724,1
HVC1726,1
HVC1728,2
HVC1729,3
HVC1731,3
HVC1734,3
HVC1742,1
HVC1764,3
HVC1765,1
HVC1769,2
HVC1777,1
HVC1778,1
HVC1779,1
HVC1783,3
HVC1789,1
HVC1792,1
HVC1808,2
HVC1817,2
HVC1819,2
HVC1824,3
HVC1825,3
HVC1828,3
HVC1831,3
HVC1832,1
HVC1834,2
HVC1835,3
HVC1836,2
HVC1840,1
HVC1842,3
HVC1844,3
HVC1845,1
HVC1848,1
HVC1849,1
HVC1850,1
HVC1851,1
HVC1852,1
HVC1854,2
HVC1860,1
HVC1864,1
HVC1865,3
HVC1866,3
HVC1868,2
HVC1872,1
HVC1873,1
HVC1883,2
HVC1887,3
HVC1889,1
HVC1897,1
HVC1898,1
HVC1900,1
HVC1902,1
HVC1907,1
HVC1908,1
HVC1910,1
HVC1938,2
HVC1939,1
HVC1944,2
HVC1945,2
HVC1946,2
HVC1948,2
HVC1950,3
HVC1952,1
HVC1955,1
HVC1957,3
HVC1963,1
HVC1968,1
HVC1971,1
HVC1972,1
HVC1979,1
HVC1980,1
HVC1986,3
HVC1992,3
HVC1995,3
HVC2004,3
HVC2010,3
HVC2018,3
HVC2021,1
HVC2062,1
HVC2065,1
HVC2069,1
HVC2071,1
HVC2079,1
HVC2096,1
HVC2132,3
HVC2135,1
HVC2140,1
